encoder,dataset,fold,method,hyper,accuracy,macro_f1,weighted_f1,n_iter
whisper_small,cremad,1,mlp,h512_a1e-04,0.7277452891487979,0.7318563998214046,0.7304328991786108,62.0
whisper_small,cremad,1,mlp,h512_a1e-03,0.7270955165692008,0.7310600211761416,0.7296163393980878,62.0
whisper_small,cremad,1,mlp,h512_a1e-02,0.7212475633528265,0.7244732883416712,0.7234878860537656,86.0
whisper_small,cremad,1,knn,k11,0.6140350877192983,0.6070943337533524,0.6030707024325811,
whisper_small,cremad,2,mlp,h512_a1e-05,0.7541720154043645,0.7560593095936179,0.7538536530454091,47.0
whisper_small,cremad,2,mlp,h512_a1e-04,0.7496790757381258,0.7512650384222036,0.7490438780571125,80.0
whisper_small,cremad,2,mlp,h512_a1e-03,0.7439024390243902,0.7452576324035945,0.7429922704552966,47.0
whisper_small,cremad,2,mlp,h512_a1e-02,0.751604621309371,0.7528484190801857,0.7509119412842244,61.0
whisper_small,cremad,2,knn,k11,0.6418485237483954,0.6297204712171847,0.6265227113630818,
whisper_small,cremad,3,mlp,h512_a1e-05,0.7419768934531451,0.7422795073809364,0.7408716904877884,157.0
whisper_small,cremad,3,mlp,h512_a1e-04,0.7445442875481386,0.7441710006964412,0.7423225710536212,95.0
whisper_small,cremad,3,mlp,h512_a1e-03,0.7464698331193839,0.7465473911582575,0.744994046026073,47.0
whisper_small,cremad,3,mlp,h512_a1e-02,0.7503209242618742,0.7502651591887144,0.7484782261990562,56.0
whisper_small,cremad,3,knn,k11,0.6270860077021823,0.6101273252698625,0.6076106605153524,
whisper_small,cremad,4,mlp,h512_a1e-05,0.72703917790623,0.7269533043771851,0.724975654488858,76.0
whisper_small,cremad,4,mlp,h512_a1e-04,0.7263969171483622,0.7272786777748451,0.7247920511818298,76.0
whisper_small,cremad,4,mlp,h512_a1e-03,0.7276814386640976,0.7276905188507089,0.7258374646026704,74.0
whisper_small,cremad,4,mlp,h512_a1e-02,0.7321772639691715,0.7321749644305476,0.730242571553706,50.0
whisper_small,cremad,4,knn,k11,0.6082209377007065,0.5947296868775686,0.5927066213202776,
whisper_small,cremad,5,mlp,h512_a1e-05,0.7235772357723578,0.7206853939030892,0.7189150564185491,127.0
whisper_small,cremad,5,mlp,h512_a1e-04,0.7252032520325203,0.7219691777387722,0.7200417180525077,66.0
whisper_small,cremad,5,mlp,h512_a1e-03,0.7138211382113822,0.7107672112271307,0.7093151523758429,76.0
whisper_small,cremad,5,mlp,h512_a1e-02,0.7211382113821139,0.7178620353523227,0.7160692336176278,52.0
whisper_small,cremad,5,knn,k11,0.6048780487804878,0.5893271217639466,0.5877963814374794,
whisper_small,esc50,1,mlp,h512_a1e-05,0.855,0.8509979530273647,0.8509979530273647,62.0
whisper_small,esc50,1,mlp,h512_a1e-04,0.855,0.8509979530273647,0.8509979530273647,62.0
whisper_small,esc50,1,mlp,h512_a1e-03,0.855,0.8509979530273647,0.8509979530273647,62.0
whisper_small,esc50,1,mlp,h512_a1e-02,0.8625,0.8587413556515723,0.8587413556515723,227.0
whisper_small,esc50,1,knn,k11,0.71,0.699317893492816,0.699317893492816,
whisper_small,esc50,2,mlp,h512_a1e-05,0.8825,0.8812157417745652,0.8812157417745652,71.0
whisper_small,esc50,2,mlp,h512_a1e-04,0.8825,0.8812157417745652,0.8812157417745652,71.0
whisper_small,esc50,2,mlp,h512_a1e-03,0.8825,0.8812157417745652,0.8812157417745652,71.0
whisper_small,esc50,2,mlp,h512_a1e-02,0.885,0.8824963206727913,0.8824963206727913,226.0
whisper_small,esc50,2,knn,k11,0.7375,0.7277636305329804,0.7277636305329804,
whisper_small,esc50,3,mlp,h512_a1e-05,0.8375,0.8351497869175887,0.8351497869175887,65.0
whisper_small,esc50,3,mlp,h512_a1e-04,0.84,0.8372553940727314,0.8372553940727314,65.0
whisper_small,esc50,3,mlp,h512_a1e-03,0.8375,0.8350022120981874,0.8350022120981874,65.0
whisper_small,esc50,3,mlp,h512_a1e-02,0.845,0.8407290568049081,0.8407290568049081,246.0
whisper_small,esc50,3,knn,k11,0.745,0.7408552799797383,0.7408552799797383,
whisper_small,esc50,4,mlp,h512_a1e-05,0.875,0.870361106385874,0.870361106385874,68.0
whisper_small,esc50,4,mlp,h512_a1e-04,0.8775,0.8725104011915157,0.8725104011915157,68.0
whisper_small,esc50,4,mlp,h512_a1e-03,0.875,0.870361106385874,0.870361106385874,68.0
whisper_small,esc50,4,mlp,h512_a1e-02,0.8875,0.8831264643509223,0.8831264643509223,220.0
whisper_small,esc50,4,knn,k11,0.7075,0.6945774408881824,0.6945774408881824,
whisper_small,esc50,5,mlp,h512_a1e-05,0.845,0.8300416233233571,0.8300416233233571,65.0
whisper_small,esc50,5,mlp,h512_a1e-04,0.845,0.8300416233233571,0.8300416233233571,65.0
whisper_small,esc50,5,mlp,h512_a1e-03,0.845,0.8300416233233571,0.8300416233233571,65.0
